epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8998.29,1.00496,0.60703,1.55683,0.95249,0.93063,0.96522,0.76171,0.93768,0.58594,1.53783,0.0011882,0.0011882,0.0011882
43,10280.6,0.97885,0.599,1.56503,0.94472,0.92775,0.96525,0.76278,0.92841,0.59418,1.5806,0.0011684,0.0011684,0.0011684
44,12431.3,0.99115,0.59992,1.57342,0.95583,0.91502,0.95692,0.76702,0.89277,0.57549,1.55521,0.0011486,0.0011486,0.0011486
45,17505,0.98675,0.60149,1.56184,0.94609,0.92958,0.96324,0.76846,0.91032,0.58443,1.53359,0.0011288,0.0011288,0.0011288
46,23734.8,0.99034,0.59997,1.55951,0.95064,0.93161,0.96533,0.7714,0.90441,0.57497,1.51379,0.001109,0.001109,0.001109
47,29336.4,0.98297,0.59654,1.56189,0.9416,0.92873,0.96349,0.76488,0.91914,0.58694,1.54885,0.0010892,0.0010892,0.0010892
48,32515.4,0.98659,0.59914,1.57204,0.94488,0.91996,0.95825,0.75605,0.91805,0.58352,1.64276,0.0010694,0.0010694,0.0010694
49,32959.1,0.97868,0.59347,1.56842,0.95363,0.92917,0.96523,0.7709,0.90333,0.57647,1.53184,0.0010496,0.0010496,0.0010496
50,34140.5,0.97938,0.59205,1.55638,0.9447,0.93309,0.96603,0.76758,0.90248,0.5777,1.56519,0.0010298,0.0010298,0.0010298
51,34564.2,0.96987,0.58993,1.55295,0.95415,0.91427,0.95861,0.76067,0.91435,0.57672,1.53846,0.00101,0.00101,0.00101
52,34955.5,0.99079,0.5969,1.54876,0.95222,0.93363,0.9675,0.76835,0.90092,0.57095,1.53882,0.0009902,0.0009902,0.0009902
53,343.486,0.98048,0.59555,1.55203,0.94308,0.84032,0.91453,0.72889,0.89862,0.57613,1.56042,0.0009704,0.0009704,0.0009704
54,1441.79,0.96085,0.58275,1.53975,0.94734,0.93029,0.96693,0.77116,0.91227,0.58283,1.49543,0.0009506,0.0009506,0.0009506
55,1875.68,0.9651,0.57972,1.54274,0.95515,0.93395,0.96756,0.77839,0.88021,0.55235,1.56505,0.0009308,0.0009308,0.0009308
56,2290.96,0.95878,0.58471,1.55003,0.95358,0.93118,0.96743,0.77452,0.88902,0.56323,1.57797,0.000911,0.000911,0.000911
57,2682.83,0.95486,0.58089,1.54258,0.95225,0.92417,0.96283,0.77211,0.89505,0.57139,1.51829,0.0008912,0.0008912,0.0008912
58,4844.4,0.95737,0.58035,1.54028,0.95743,0.9274,0.96464,0.77514,0.88704,0.55553,1.51047,0.0008714,0.0008714,0.0008714
59,5244.91,0.96159,0.58372,1.54172,0.9561,0.93128,0.96886,0.78171,0.8689,0.55109,1.5269,0.0008516,0.0008516,0.0008516
60,6346.08,0.94343,0.57414,1.53192,0.95961,0.93543,0.96983,0.7771,0.88267,0.55473,1.52069,0.0008318,0.0008318,0.0008318
61,6716.82,0.94818,0.57661,1.53768,0.95354,0.93687,0.96933,0.78133,0.87098,0.55366,1.50527,0.000812,0.000812,0.000812
62,7657.59,0.95238,0.57965,1.53149,0.95593,0.93083,0.96808,0.77617,0.8887,0.56143,1.50857,0.0007922,0.0007922,0.0007922
63,325.683,0.932,0.56834,1.50861,0.94772,0.86139,0.92708,0.74551,0.87,0.55111,1.50726,0.0007724,0.0007724,0.0007724
64,1061.27,0.92685,0.5653,1.51005,0.95324,0.93075,0.96891,0.78493,0.86571,0.55558,1.52772,0.0007526,0.0007526,0.0007526
65,1764.13,0.93236,0.5666,1.51602,0.95334,0.93278,0.96835,0.78463,0.85705,0.54896,1.50939,0.0007328,0.0007328,0.0007328
66,2156.29,0.92335,0.56325,1.50901,0.95563,0.93102,0.96889,0.7789,0.87228,0.55492,1.50573,0.000713,0.000713,0.000713
67,2532.57,0.91867,0.56094,1.50786,0.9537,0.93169,0.96589,0.78315,0.86614,0.54989,1.50344,0.0006932,0.0006932,0.0006932
68,3061.21,0.91973,0.56078,1.50506,0.95891,0.93691,0.96895,0.78736,0.85782,0.54017,1.48491,0.0006734,0.0006734,0.0006734
69,3454.8,0.92463,0.56441,1.50927,0.9504,0.93573,0.96914,0.7874,0.85276,0.5435,1.51759,0.0006536,0.0006536,0.0006536
70,4867.65,0.91013,0.55531,1.49908,0.95877,0.93278,0.96893,0.78672,0.85574,0.543,1.4788,0.0006338,0.0006338,0.0006338
71,1747.01,0.91211,0.55747,1.48441,0.95129,0.87315,0.93526,0.75883,0.85026,0.54711,1.50945,0.000614,0.000614,0.000614
72,2091.74,0.90298,0.5527,1.48972,0.95035,0.92296,0.96207,0.78421,0.84687,0.54326,1.4834,0.0005942,0.0005942,0.0005942
73,2389.89,0.90417,0.55157,1.49553,0.95251,0.93429,0.96984,0.78978,0.84235,0.53801,1.49405,0.0005744,0.0005744,0.0005744
74,2781.18,0.90161,0.55174,1.49189,0.95327,0.9216,0.96292,0.7825,0.85007,0.54103,1.49147,0.0005546,0.0005546,0.0005546
75,3147.54,0.89918,0.54814,1.47966,0.95,0.93932,0.97055,0.79075,0.84038,0.53895,1.48657,0.0005348,0.0005348,0.0005348
