epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,307.434,2.12312,2.16945,0.16492,0.01771,0.57948,0.56551,0.60012,0.3479,1.48795,1.51172,0.2697,0.00308,0.000663082,0.000663082,0.000663082
2,2091.29,1.53266,1.27813,0.17816,0.00594,0.68634,0.68624,0.74549,0.4652,1.35872,1.17096,0.27381,0.0028,0.00132317,0.00132317,0.00132317
3,2427.25,1.47364,1.14561,0.17878,0.00553,0.70629,0.71281,0.77344,0.4909,1.32095,1.10002,0.28227,0.00154,0.00197665,0.00197665,0.00197665
4,8502.45,1.4132,1.03317,0.17999,0.00475,0.74201,0.75136,0.81288,0.52105,1.31772,0.98444,0.25512,0.00133,0.0019703,0.0019703,0.0019703
5,30538.3,1.35415,0.95573,0.1793,0.00445,0.77783,0.74533,0.83139,0.53655,1.26378,0.91162,0.27941,0.00188,0.0019604,0.0019604,0.0019604
6,30919.9,1.34939,0.92411,0.18343,0.00413,0.76115,0.78637,0.84268,0.54283,1.25763,0.9172,0.2774,0.00175,0.0019505,0.0019505,0.0019505
7,34764.6,1.31695,0.87312,0.17585,0.0042,0.79839,0.78571,0.86387,0.61197,1.11731,0.79401,0.27448,0.00141,0.0019406,0.0019406,0.0019406
8,35128.2,1.25531,0.81793,0.17926,0.00365,0.808,0.80231,0.87206,0.59455,1.1857,0.77765,0.27791,0.00121,0.0019307,0.0019307,0.0019307
9,42288.2,1.28616,0.81393,0.17987,0.00404,0.81835,0.7938,0.87646,0.61322,1.11466,0.7688,0.28085,0.00159,0.0019208,0.0019208,0.0019208
10,44979.3,1.24947,0.7824,0.17998,0.00387,0.81748,0.81288,0.88665,0.58181,1.26753,0.74313,0.27049,0.00117,0.0019109,0.0019109,0.0019109
11,46985.5,1.25502,0.77915,0.17708,0.00376,0.83151,0.8119,0.8938,0.62359,1.11744,0.71846,0.27828,0.00118,0.001901,0.001901,0.001901
12,47932.1,1.22253,0.76102,0.17983,0.00347,0.82059,0.80877,0.88434,0.61306,1.13797,0.74539,0.28464,0.00132,0.0018911,0.0018911,0.0018911
13,48327.3,1.22985,0.75014,0.18179,0.00386,0.82855,0.83116,0.89737,0.62147,1.14908,0.69477,0.27895,0.00135,0.0018812,0.0018812,0.0018812
14,59971.5,1.20212,0.72279,0.18185,0.00358,0.83045,0.8101,0.88841,0.62403,1.09788,0.74596,0.2778,0.00123,0.0018713,0.0018713,0.0018713
15,61857.2,1.20849,0.71409,0.18079,0.00355,0.84422,0.83075,0.90557,0.65965,1.04599,0.65532,0.28053,0.00104,0.0018614,0.0018614,0.0018614
16,62333.9,1.21288,0.71783,0.18008,0.00354,0.84452,0.83409,0.90305,0.64125,1.08956,0.68321,0.28228,0.00116,0.0018515,0.0018515,0.0018515
17,62753,1.18717,0.69453,0.18139,0.00337,0.85685,0.83167,0.91167,0.64841,1.10591,0.67171,0.27821,0.0012,0.0018416,0.0018416,0.0018416
