epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
18,63212,1.17632,0.68594,0.18005,0.00339,0.86985,0.84452,0.92061,0.6606,1.0828,0.61739,0.27449,0.00135,0.0018317,0.0018317,0.0018317
19,63690.3,1.16285,0.6809,0.1811,0.0033,0.85013,0.8446,0.9137,0.65402,1.08332,0.65455,0.27602,0.00147,0.0018218,0.0018218,0.0018218
20,64116.6,1.19142,0.68293,0.17772,0.00349,0.85126,0.84281,0.91244,0.6661,1.03274,0.64164,0.27967,0.00101,0.0018119,0.0018119,0.0018119
21,64532.4,1.14419,0.65543,0.18113,0.00315,0.8524,0.83712,0.91218,0.67272,1.00961,0.6348,0.28182,0.00117,0.001802,0.001802,0.001802
22,64994.9,1.15299,0.66342,0.17893,0.00319,0.85797,0.84084,0.91526,0.66134,1.0621,0.62417,0.27657,0.00144,0.0017921,0.0017921,0.0017921
23,65379.4,1.16316,0.65297,0.18132,0.00355,0.85416,0.84218,0.91709,0.67831,1.00154,0.62074,0.28032,0.00117,0.0017822,0.0017822,0.0017822
24,66498.4,1.15848,0.65522,0.18004,0.00356,0.8567,0.84086,0.91653,0.66799,1.03248,0.61301,0.27723,0.00107,0.0017723,0.0017723,0.0017723
25,75841.1,1.12398,0.63501,0.18146,0.003,0.85908,0.85115,0.92146,0.6846,1.00648,0.6075,0.27969,0.00107,0.0017624,0.0017624,0.0017624
26,76275.8,1.14806,0.65307,0.17906,0.00323,0.86905,0.84572,0.92152,0.66687,1.04682,0.62559,0.27863,0.00108,0.0017525,0.0017525,0.0017525
27,78470.3,1.13348,0.64084,0.18249,0.00316,0.86068,0.85078,0.91881,0.65992,1.04054,0.61031,0.27938,0.00095,0.0017426,0.0017426,0.0017426
28,78881.4,1.13227,0.63749,0.18257,0.00295,0.87282,0.86742,0.92973,0.66987,1.05861,0.57626,0.27479,0.00114,0.0017327,0.0017327,0.0017327
29,79323.6,1.11843,0.6262,0.18048,0.00334,0.85574,0.86205,0.91637,0.68669,0.99513,0.57741,0.27728,0.00111,0.0017228,0.0017228,0.0017228
30,79696.8,1.10303,0.62172,0.17965,0.00318,0.87466,0.84685,0.92464,0.69557,0.97143,0.58464,0.27906,0.001,0.0017129,0.0017129,0.0017129
31,80131.4,1.12368,0.61797,0.17966,0.00323,0.87173,0.84079,0.92277,0.67278,1.03764,0.59329,0.27448,0.00126,0.001703,0.001703,0.001703
32,80557.8,1.12235,0.61939,0.18241,0.00322,0.86807,0.86423,0.9285,0.69605,0.98297,0.57312,0.27952,0.00122,0.0016931,0.0016931,0.0016931
33,80984.4,1.11894,0.61667,0.17958,0.00325,0.87646,0.85294,0.92636,0.69686,0.9701,0.56139,0.28027,0.00092,0.0016832,0.0016832,0.0016832
34,81419.5,1.12378,0.6171,0.17824,0.00339,0.86917,0.85777,0.92431,0.6874,0.99249,0.56903,0.28482,0.00146,0.0016733,0.0016733,0.0016733
35,81848.2,1.09845,0.6095,0.18186,0.00315,0.86835,0.85488,0.92412,0.69736,0.96628,0.56971,0.2762,0.00105,0.0016634,0.0016634,0.0016634
36,82276.1,1.09108,0.60524,0.18147,0.00303,0.87763,0.8661,0.93209,0.71626,0.92959,0.53498,0.27947,0.00088,0.0016535,0.0016535,0.0016535
37,82659.4,1.08783,0.59953,0.17915,0.00307,0.87272,0.85244,0.92444,0.69432,0.98535,0.57695,0.28202,0.00097,0.0016436,0.0016436,0.0016436
38,83093.9,1.06872,0.58697,0.18101,0.00281,0.87003,0.86797,0.93104,0.69713,0.96949,0.54695,0.27861,0.00099,0.0016337,0.0016337,0.0016337
39,83504.3,1.08164,0.60449,0.1814,0.00295,0.88735,0.87116,0.93583,0.71114,0.94774,0.53667,0.27751,0.00097,0.0016238,0.0016238,0.0016238
40,83947.5,1.08718,0.59889,0.18023,0.00311,0.87891,0.8673,0.93213,0.7125,0.93706,0.53738,0.27823,0.00098,0.0016139,0.0016139,0.0016139
41,84311.2,1.05959,0.58385,0.18328,0.00271,0.88597,0.87087,0.93612,0.71833,0.92537,0.51881,0.2782,0.00094,0.001604,0.001604,0.001604
42,84737.2,1.06835,0.58749,0.17797,0.00282,0.87374,0.87311,0.93218,0.70745,0.95048,0.54664,0.27912,0.00099,0.0015941,0.0015941,0.0015941
43,85125.7,1.0867,0.595,0.17742,0.00284,0.87508,0.87373,0.92803,0.70552,0.94318,0.53003,0.28217,0.00096,0.0015842,0.0015842,0.0015842
44,85521.3,1.06941,0.56983,0.17976,0.00277,0.88763,0.86353,0.93372,0.71209,0.93313,0.53077,0.28114,0.00094,0.0015743,0.0015743,0.0015743
45,85955.5,1.07195,0.59023,0.18121,0.00298,0.89877,0.87233,0.93934,0.72177,0.91585,0.50732,0.27823,0.00102,0.0015644,0.0015644,0.0015644
46,86370.1,1.04865,0.56736,0.18454,0.00273,0.88154,0.87537,0.93771,0.71676,0.93521,0.51034,0.27979,0.00102,0.0015545,0.0015545,0.0015545
47,86746.2,1.06268,0.56869,0.18276,0.00281,0.89295,0.86618,0.93568,0.71879,0.91701,0.52115,0.27779,0.00088,0.0015446,0.0015446,0.0015446
48,87116.3,1.06102,0.57301,0.18281,0.00273,0.88907,0.87904,0.94029,0.72572,0.91218,0.50102,0.28318,0.00086,0.0015347,0.0015347,0.0015347
49,87497,1.03516,0.55577,0.1817,0.00281,0.89628,0.87311,0.9397,0.71929,0.92029,0.51623,0.27871,0.0008,0.0015248,0.0015248,0.0015248
50,87861.3,1.0322,0.55705,0.18133,0.00278,0.89341,0.8742,0.94042,0.72265,0.92167,0.50124,0.28217,0.00093,0.0015149,0.0015149,0.0015149
51,270.627,1.03868,0.55389,0.17966,0.00274,0.89106,0.87973,0.94211,0.7236,0.91283,0.49817,0.28085,0.00087,0.001505,0.001505,0.001505
52,590.075,1.03319,0.5531,0.18148,0.00285,0.8938,0.8721,0.94072,0.72585,0.91094,0.50183,0.27809,0.00084,0.0014951,0.0014951,0.0014951
53,898.407,1.03113,0.55634,0.18105,0.00274,0.88212,0.88004,0.94031,0.72504,0.91431,0.50671,0.28159,0.00081,0.0014852,0.0014852,0.0014852
54,1202.07,1.04041,0.55519,0.18229,0.00283,0.89918,0.87965,0.94447,0.72636,0.90944,0.48895,0.27721,0.00087,0.0014753,0.0014753,0.0014753
55,1554.12,1.02427,0.5469,0.18063,0.00281,0.9016,0.87732,0.94336,0.73179,0.90216,0.49133,0.28149,0.00099,0.0014654,0.0014654,0.0014654
56,1915.25,1.01963,0.54163,0.18433,0.00235,0.89685,0.88441,0.94566,0.73976,0.88104,0.47898,0.28011,0.00078,0.0014555,0.0014555,0.0014555
57,2252.13,1.02987,0.5526,0.17742,0.00279,0.89485,0.88165,0.94401,0.73553,0.88786,0.48177,0.28048,0.00081,0.0014456,0.0014456,0.0014456
58,2582.27,1.02109,0.54704,0.18044,0.0027,0.8922,0.89336,0.94614,0.73605,0.897,0.47845,0.27943,0.00088,0.0014357,0.0014357,0.0014357
59,2914.45,1.02145,0.54668,0.18083,0.00272,0.88963,0.88347,0.94168,0.73317,0.88953,0.48543,0.27959,0.00089,0.0014258,0.0014258,0.0014258
60,3223.19,1.01913,0.55082,0.18141,0.00276,0.90236,0.88503,0.94686,0.72728,0.9134,0.47717,0.2819,0.00083,0.0014159,0.0014159,0.0014159
61,3537.27,1.01496,0.54618,0.17791,0.00275,0.9029,0.88121,0.94647,0.74432,0.87316,0.47337,0.27957,0.00074,0.001406,0.001406,0.001406
62,3858.65,1.00743,0.53988,0.18066,0.00247,0.90231,0.86758,0.94054,0.73467,0.87898,0.48004,0.28284,0.0007,0.0013961,0.0013961,0.0013961
63,4182.29,1.01751,0.5456,0.18265,0.00298,0.90633,0.88334,0.94678,0.74418,0.86984,0.46485,0.2804,0.00069,0.0013862,0.0013862,0.0013862
64,4503.22,0.99457,0.5311,0.18261,0.00259,0.8962,0.89583,0.94898,0.74122,0.88106,0.46275,0.27929,0.00089,0.0013763,0.0013763,0.0013763
65,4813.52,0.99846,0.53196,0.18189,0.00248,0.89614,0.88222,0.94559,0.73957,0.88012,0.46573,0.27786,0.00082,0.0013664,0.0013664,0.0013664
66,5142.52,1.00467,0.53376,0.18053,0.00253,0.90583,0.88441,0.94768,0.74491,0.8647,0.4639,0.28042,0.00092,0.0013565,0.0013565,0.0013565
67,5481.78,0.97516,0.51805,0.18223,0.0024,0.90174,0.88639,0.94668,0.74402,0.87328,0.46634,0.27971,0.00069,0.0013466,0.0013466,0.0013466
68,5861.56,0.99491,0.53022,0.18142,0.00265,0.90174,0.88698,0.94635,0.74783,0.86029,0.46666,0.28057,0.00085,0.0013367,0.0013367,0.0013367
69,6240.36,0.98249,0.52558,0.18152,0.00255,0.90311,0.89234,0.94749,0.74789,0.85871,0.4584,0.27867,0.0008,0.0013268,0.0013268,0.0013268
70,6613.62,0.99983,0.52943,0.1785,0.00267,0.91029,0.8876,0.94706,0.74539,0.8656,0.45914,0.27875,0.00083,0.0013169,0.0013169,0.0013169
71,6985.47,1.00079,0.52795,0.18127,0.00246,0.89967,0.89686,0.94774,0.74662,0.86242,0.45013,0.2796,0.00071,0.001307,0.001307,0.001307
72,7368.97,0.99337,0.52617,0.17914,0.00245,0.90722,0.88428,0.94817,0.74835,0.85908,0.46538,0.28049,0.00083,0.0012971,0.0012971,0.0012971
73,7732.21,0.98175,0.5177,0.18157,0.00265,0.90006,0.8922,0.94667,0.74426,0.86631,0.46704,0.27916,0.00078,0.0012872,0.0012872,0.0012872
74,8075.24,0.99164,0.52165,0.18068,0.00276,0.90991,0.89601,0.95179,0.74285,0.88101,0.44689,0.28189,0.00079,0.0012773,0.0012773,0.0012773
75,8410.79,0.98145,0.51615,0.18194,0.00245,0.89704,0.89079,0.947,0.74849,0.86233,0.46282,0.28009,0.00074,0.0012674,0.0012674,0.0012674
76,8769.71,0.9912,0.52086,0.17957,0.00244,0.90557,0.89195,0.9496,0.75492,0.84563,0.45468,0.27935,0.00078,0.0012575,0.0012575,0.0012575
77,9123.43,0.96786,0.51389,0.18293,0.00255,0.9117,0.88789,0.95072,0.75216,0.84475,0.44543,0.27969,0.00081,0.0012476,0.0012476,0.0012476
78,9454.75,0.97675,0.51374,0.18296,0.00247,0.90442,0.89264,0.9483,0.75341,0.83943,0.45557,0.28003,0.00087,0.0012377,0.0012377,0.0012377
79,9826.62,0.96401,0.50861,0.18078,0.00254,0.90978,0.89471,0.95095,0.75564,0.8456,0.45434,0.28009,0.00065,0.0012278,0.0012278,0.0012278
80,10194.3,0.96181,0.51205,0.17993,0.00252,0.89919,0.88355,0.94463,0.74926,0.84623,0.47231,0.2805,0.00074,0.0012179,0.0012179,0.0012179
81,10502.2,0.97836,0.51567,0.17999,0.00255,0.90731,0.89212,0.94895,0.75061,0.8547,0.44898,0.27978,0.00075,0.001208,0.001208,0.001208
82,10823.4,0.96851,0.5135,0.1828,0.00257,0.91193,0.89693,0.95193,0.759,0.83655,0.44404,0.28083,0.00079,0.0011981,0.0011981,0.0011981
83,11150.1,0.97093,0.5074,0.18006,0.00258,0.90277,0.89029,0.94757,0.75299,0.8417,0.46027,0.27981,0.00073,0.0011882,0.0011882,0.0011882
84,11499.5,0.97001,0.51002,0.17885,0.00256,0.90203,0.89647,0.94982,0.75732,0.83478,0.44563,0.28039,0.00066,0.0011783,0.0011783,0.0011783
85,11835.5,0.96835,0.51532,0.18216,0.0026,0.89859,0.89107,0.94772,0.7516,0.84502,0.45244,0.27985,0.00072,0.0011684,0.0011684,0.0011684
86,12190.6,0.96951,0.51529,0.1817,0.00261,0.89747,0.88768,0.94472,0.75141,0.83672,0.46511,0.2805,0.00064,0.0011585,0.0011585,0.0011585
87,12524.5,0.95949,0.50385,0.1793,0.00262,0.90763,0.88939,0.94995,0.75713,0.83364,0.44606,0.2805,0.00069,0.0011486,0.0011486,0.0011486
88,12903.3,0.94478,0.49872,0.18125,0.00235,0.90702,0.90039,0.95272,0.7589,0.83302,0.43719,0.28022,0.00069,0.0011387,0.0011387,0.0011387
89,13284,0.95082,0.5019,0.18164,0.00238,0.91123,0.89554,0.95019,0.75826,0.82201,0.44721,0.27987,0.00073,0.0011288,0.0011288,0.0011288
90,13633.7,0.95856,0.50022,0.18038,0.00253,0.91066,0.89484,0.95161,0.76306,0.82134,0.44298,0.28009,0.00065,0.0011189,0.0011189,0.0011189
91,13951.4,0.94674,0.49233,0.18303,0.00227,0.90788,0.901,0.95166,0.75846,0.82918,0.43745,0.27967,0.00069,0.001109,0.001109,0.001109
92,14336.1,0.95065,0.5023,0.17851,0.00233,0.89703,0.90248,0.95097,0.76103,0.82442,0.44827,0.28038,0.00072,0.0010991,0.0010991,0.0010991
93,14691.4,0.95192,0.50313,0.17786,0.00223,0.91053,0.89812,0.95244,0.76095,0.83088,0.4436,0.28242,0.00067,0.0010892,0.0010892,0.0010892
94,15046.8,0.93701,0.48741,0.1799,0.0022,0.90901,0.89928,0.95231,0.76525,0.81721,0.43254,0.28081,0.00065,0.0010793,0.0010793,0.0010793
95,15420.1,0.95085,0.50388,0.18163,0.00244,0.91446,0.89602,0.95203,0.76378,0.81774,0.43993,0.27883,0.00071,0.0010694,0.0010694,0.0010694
96,15786.5,0.94407,0.49292,0.18469,0.00238,0.91369,0.90048,0.95745,0.76527,0.82196,0.4314,0.28003,0.00079,0.0010595,0.0010595,0.0010595
97,16144,0.95547,0.49954,0.18341,0.00236,0.92331,0.88904,0.9532,0.76588,0.81776,0.43574,0.28046,0.00082,0.0010496,0.0010496,0.0010496
98,16476.6,0.94353,0.50046,0.18323,0.00231,0.92103,0.88799,0.95261,0.76255,0.82442,0.44039,0.28156,0.00069,0.0010397,0.0010397,0.0010397
99,16841.2,0.93358,0.4865,0.18197,0.0024,0.91545,0.89401,0.95251,0.76695,0.81458,0.43297,0.27977,0.00067,0.0010298,0.0010298,0.0010298
100,17138.4,0.92841,0.48493,0.18174,0.00233,0.91158,0.89399,0.9504,0.7652,0.81419,0.44331,0.28081,0.00064,0.0010199,0.0010199,0.0010199
101,17449.7,0.93285,0.49454,0.18348,0.00237,0.90615,0.89765,0.95135,0.7696,0.80072,0.43605,0.28027,0.00069,0.00101,0.00101,0.00101
102,17741.8,0.92809,0.48933,0.1813,0.00224,0.9122,0.89874,0.95248,0.76877,0.80611,0.43153,0.2794,0.00067,0.0010001,0.0010001,0.0010001
103,18065.1,0.93523,0.48747,0.18006,0.00232,0.91107,0.90279,0.95258,0.76917,0.8033,0.43422,0.28073,0.00071,0.0009902,0.0009902,0.0009902
104,18406.6,0.92391,0.48734,0.18327,0.00225,0.91518,0.90096,0.95298,0.76751,0.8074,0.42816,0.28084,0.00066,0.0009803,0.0009803,0.0009803
105,18719,0.93977,0.49185,0.18158,0.00235,0.91214,0.9038,0.95195,0.7695,0.79689,0.4253,0.28083,0.00068,0.0009704,0.0009704,0.0009704
106,19026.9,0.93594,0.48646,0.17921,0.00241,0.91336,0.90163,0.95268,0.77077,0.80142,0.42667,0.2797,0.00065,0.0009605,0.0009605,0.0009605
107,19330.9,0.93181,0.49231,0.18053,0.00241,0.90798,0.90497,0.95205,0.76762,0.80496,0.43305,0.28095,0.00067,0.0009506,0.0009506,0.0009506
108,19670.9,0.92959,0.49029,0.18064,0.00241,0.91822,0.89902,0.95217,0.7696,0.80231,0.42874,0.28118,0.00069,0.0009407,0.0009407,0.0009407
109,19987.5,0.92592,0.48319,0.17809,0.00237,0.90892,0.9077,0.95299,0.77237,0.79699,0.42606,0.27983,0.00061,0.0009308,0.0009308,0.0009308
110,20346.1,0.92792,0.48617,0.17848,0.00235,0.9092,0.8985,0.95105,0.76775,0.80069,0.43772,0.281,0.00066,0.0009209,0.0009209,0.0009209
111,20666,0.91242,0.47433,0.1821,0.00225,0.9145,0.90497,0.95373,0.77154,0.79509,0.42325,0.27994,0.00062,0.000911,0.000911,0.000911
112,20966.6,0.9181,0.48513,0.18183,0.00229,0.91302,0.90022,0.95184,0.77221,0.79006,0.42562,0.27962,0.00066,0.0009011,0.0009011,0.0009011
113,21294.6,0.93215,0.4895,0.18117,0.00226,0.91287,0.89321,0.95166,0.76966,0.79426,0.4273,0.27828,0.00062,0.0008912,0.0008912,0.0008912
114,21585.9,0.91188,0.48024,0.18217,0.00223,0.91598,0.90162,0.95416,0.77276,0.79258,0.41868,0.28051,0.00069,0.0008813,0.0008813,0.0008813
115,21874.1,0.91192,0.47628,0.18311,0.0022,0.91412,0.90481,0.95381,0.77134,0.79698,0.42366,0.28041,0.00071,0.0008714,0.0008714,0.0008714
116,22208.9,0.91561,0.47824,0.18092,0.00231,0.92107,0.89967,0.95421,0.77241,0.79377,0.424,0.28066,0.00068,0.0008615,0.0008615,0.0008615
117,22527.7,0.91163,0.47781,0.17575,0.00227,0.93261,0.89041,0.95465,0.7723,0.79418,0.42178,0.27941,0.00067,0.0008516,0.0008516,0.0008516
118,22826.6,0.91472,0.47907,0.18082,0.00224,0.91584,0.89681,0.95299,0.77317,0.79129,0.4259,0.27917,0.00069,0.0008417,0.0008417,0.0008417
119,265.736,0.91403,0.46827,0.18008,0.00226,0.91841,0.89702,0.95313,0.77269,0.79055,0.42406,0.28056,0.00062,0.0008318,0.0008318,0.0008318
120,576.511,0.90236,0.465,0.18194,0.00233,0.91344,0.90513,0.95447,0.77423,0.78614,0.4207,0.2803,0.00066,0.0008219,0.0008219,0.0008219
121,867.623,0.90085,0.46685,0.18115,0.00225,0.92071,0.90513,0.95496,0.77469,0.78641,0.41626,0.27964,0.00064,0.000812,0.000812,0.000812
122,1157.27,0.90129,0.4653,0.18233,0.0023,0.91821,0.90365,0.95485,0.77435,0.78933,0.41803,0.28037,0.00062,0.0008021,0.0008021,0.0008021
123,1488.01,0.90313,0.4616,0.18056,0.00234,0.91635,0.90575,0.95567,0.77661,0.79034,0.41334,0.27944,0.00067,0.0007922,0.0007922,0.0007922
124,1831.4,0.89724,0.46388,0.1847,0.00192,0.91154,0.90583,0.95515,0.77547,0.78626,0.41835,0.27996,0.00062,0.0007823,0.0007823,0.0007823
125,2161.06,0.90277,0.46978,0.17727,0.00235,0.91785,0.90349,0.95433,0.77535,0.78425,0.4186,0.27948,0.00065,0.0007724,0.0007724,0.0007724
126,2482.77,0.89523,0.46289,0.1806,0.0022,0.91871,0.90316,0.95556,0.77718,0.78592,0.41069,0.28056,0.00064,0.0007625,0.0007625,0.0007625
127,2803.48,0.90258,0.4665,0.18111,0.0022,0.9231,0.90255,0.9553,0.77626,0.78787,0.41435,0.28033,0.00065,0.0007526,0.0007526,0.0007526
128,3105.35,0.8942,0.46927,0.18143,0.00225,0.91563,0.9071,0.95414,0.77557,0.78578,0.41814,0.28068,0.00065,0.0007427,0.0007427,0.0007427
129,3418.34,0.89485,0.46724,0.17821,0.00225,0.92313,0.90777,0.95728,0.77793,0.78395,0.40735,0.28001,0.00066,0.0007328,0.0007328,0.0007328
130,3724.09,0.89824,0.46979,0.18095,0.00219,0.92052,0.90303,0.9562,0.77589,0.79054,0.41413,0.28025,0.00064,0.0007229,0.0007229,0.0007229
131,4021.5,0.89715,0.46588,0.18251,0.00234,0.9202,0.90905,0.95731,0.77909,0.77968,0.40424,0.28003,0.00063,0.000713,0.000713,0.000713
132,4323.39,0.8822,0.45601,0.18256,0.00223,0.92117,0.90567,0.95644,0.78043,0.77704,0.40919,0.28026,0.00064,0.0007031,0.0007031,0.0007031
133,4632.71,0.88392,0.45921,0.18172,0.00206,0.92293,0.9048,0.95666,0.78025,0.77489,0.4076,0.27991,0.00064,0.0006932,0.0006932,0.0006932
134,4936.73,0.89321,0.4644,0.18067,0.00204,0.92315,0.90854,0.95729,0.78094,0.77861,0.4072,0.2804,0.0006,0.0006833,0.0006833,0.0006833
135,5226.1,0.87586,0.45296,0.18207,0.00202,0.92247,0.90922,0.9571,0.78086,0.77514,0.41149,0.28036,0.00067,0.0006734,0.0006734,0.0006734
136,5532.99,0.87629,0.45643,0.1809,0.00209,0.91723,0.90638,0.95559,0.78124,0.77354,0.41432,0.27995,0.00065,0.0006635,0.0006635,0.0006635
137,5908.49,0.88239,0.45717,0.18147,0.00214,0.9116,0.90746,0.95562,0.78026,0.77405,0.41932,0.28072,0.00063,0.0006536,0.0006536,0.0006536
138,6270.2,0.889,0.46047,0.17825,0.0022,0.92128,0.90341,0.95662,0.78153,0.7725,0.40886,0.28063,0.00062,0.0006437,0.0006437,0.0006437
139,6638.47,0.87838,0.45742,0.1816,0.002,0.91666,0.90385,0.95556,0.78162,0.76981,0.41371,0.28005,0.00065,0.0006338,0.0006338,0.0006338
140,7012.01,0.88666,0.45983,0.17947,0.00202,0.91758,0.90957,0.9568,0.78254,0.77134,0.41192,0.28025,0.00061,0.0006239,0.0006239,0.0006239
141,7376.32,0.8804,0.45379,0.18152,0.0022,0.91824,0.90777,0.9568,0.78356,0.76584,0.40956,0.28075,0.00057,0.000614,0.000614,0.000614
142,7752.87,0.8908,0.45753,0.18043,0.00234,0.91818,0.90997,0.95704,0.78342,0.76893,0.40624,0.27989,0.00058,0.0006041,0.0006041,0.0006041
143,8097.72,0.87441,0.45286,0.18195,0.00203,0.92208,0.90536,0.95681,0.7824,0.77164,0.40816,0.28047,0.00059,0.0005942,0.0005942,0.0005942
144,8432.67,0.88394,0.45837,0.17969,0.00203,0.91548,0.90871,0.95683,0.78445,0.76837,0.40572,0.2804,0.00059,0.0005843,0.0005843,0.0005843
145,8760.28,0.87517,0.45283,0.18265,0.00218,0.92112,0.9042,0.95728,0.78495,0.76619,0.40238,0.27994,0.00057,0.0005744,0.0005744,0.0005744
146,9066.63,0.87094,0.45199,0.18296,0.00201,0.9195,0.90676,0.95593,0.78319,0.76815,0.40777,0.28027,0.00058,0.0005645,0.0005645,0.0005645
147,9410.46,0.87034,0.44871,0.18072,0.00211,0.92172,0.90629,0.95558,0.78118,0.76968,0.41037,0.27994,0.00059,0.0005546,0.0005546,0.0005546
148,9749.34,0.86835,0.44966,0.17977,0.00222,0.9161,0.90699,0.95559,0.78337,0.76772,0.40867,0.27989,0.00049,0.0005447,0.0005447,0.0005447
149,10075.3,0.86857,0.44494,0.1798,0.00206,0.92219,0.90699,0.95668,0.78511,0.76571,0.40672,0.2799,0.00052,0.0005348,0.0005348,0.0005348
150,10426.5,0.86956,0.44777,0.18264,0.00211,0.92306,0.90645,0.95649,0.78535,0.76141,0.40438,0.28009,0.00057,0.0005249,0.0005249,0.0005249
151,10742.1,0.87616,0.45133,0.18018,0.00219,0.92989,0.90123,0.95702,0.78535,0.76095,0.40745,0.28006,0.00058,0.000515,0.000515,0.000515
152,11096.4,0.87071,0.45059,0.17866,0.00204,0.9226,0.90458,0.95749,0.78635,0.75892,0.4063,0.2802,0.00055,0.0005051,0.0005051,0.0005051
153,11473.2,0.86737,0.447,0.18216,0.0021,0.92489,0.90456,0.95678,0.78578,0.76088,0.40812,0.28016,0.00056,0.0004952,0.0004952,0.0004952
154,11824.5,0.86306,0.44825,0.18152,0.00218,0.91384,0.91027,0.95621,0.7851,0.76077,0.40729,0.2802,0.00057,0.0004853,0.0004853,0.0004853
155,12098.5,0.8574,0.44494,0.17916,0.00218,0.91448,0.91121,0.95642,0.78636,0.75741,0.4044,0.28018,0.00059,0.0004754,0.0004754,0.0004754
156,12424.6,0.85232,0.44077,0.18111,0.00199,0.91663,0.91125,0.95658,0.78732,0.75884,0.40168,0.27998,0.00059,0.0004655,0.0004655,0.0004655
157,12764,0.86121,0.44668,0.18142,0.002,0.90811,0.91226,0.95598,0.78628,0.75822,0.40816,0.27978,0.0006,0.0004556,0.0004556,0.0004556
158,13078.4,0.86436,0.44553,0.18017,0.00224,0.91914,0.90487,0.95632,0.78658,0.75714,0.40581,0.27988,0.0006,0.0004457,0.0004457,0.0004457
159,13394.1,0.84884,0.43766,0.18302,0.00187,0.92205,0.9084,0.95687,0.78586,0.75933,0.4051,0.28044,0.0006,0.0004358,0.0004358,0.0004358
160,13749,0.86,0.44436,0.17822,0.00199,0.91944,0.90699,0.95699,0.78635,0.75808,0.406,0.28,0.00061,0.0004259,0.0004259,0.0004259
161,14080,0.85754,0.44678,0.17762,0.00198,0.91991,0.90992,0.95674,0.78679,0.75868,0.40559,0.28018,0.00057,0.000416,0.000416,0.000416
162,14424.4,0.84697,0.43395,0.17969,0.00181,0.92175,0.90793,0.95673,0.78644,0.76179,0.40305,0.28027,0.0005,0.0004061,0.0004061,0.0004061
