epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,2907.16,0.86958,0.56059,1.00048,0.91859,0.87253,0.90908,0.71614,0.80477,0.54079,0.96236,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,3630.23,0.86426,0.55495,0.99899,0.92595,0.90459,0.94179,0.73877,0.80759,0.52911,0.96099,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,4519.57,0.85999,0.55175,0.99701,0.91863,0.87116,0.90455,0.71994,0.78347,0.53574,0.94956,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,5661.52,0.8619,0.55271,0.99589,0.92267,0.84052,0.87778,0.69131,0.80198,0.54273,0.95384,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,6693.75,0.85814,0.54919,0.99636,0.92611,0.8734,0.91085,0.71994,0.79392,0.52638,0.94864,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,7710.52,0.85011,0.54424,0.99403,0.93483,0.90087,0.94259,0.74272,0.79224,0.52419,0.94901,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,8650.44,0.8503,0.54433,0.99377,0.92757,0.90283,0.93997,0.74122,0.79166,0.52409,0.95328,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,9728.23,0.84703,0.54299,0.99212,0.93207,0.89705,0.93808,0.74439,0.77723,0.52437,0.94521,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,10851.2,0.84397,0.54108,0.99028,0.93238,0.90661,0.94311,0.75004,0.76709,0.51518,0.94366,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,11875.1,0.84397,0.54125,0.98954,0.93154,0.89998,0.93443,0.74274,0.78735,0.51599,0.94591,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,12917.7,0.84203,0.53896,0.99072,0.93607,0.90245,0.94082,0.74864,0.76604,0.50587,0.94236,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,614.47,0.83364,0.53367,0.98534,0.93229,0.70291,0.72329,0.58552,0.76673,0.50996,0.94162,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,1320.22,0.83974,0.53537,0.98798,0.9354,0.84134,0.87068,0.69799,0.76763,0.50735,0.94061,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,2109.45,0.82765,0.52991,0.98551,0.93656,0.88146,0.91694,0.72815,0.77837,0.50124,0.93939,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,2894.46,0.82829,0.53145,0.98395,0.93456,0.87887,0.91454,0.73338,0.7576,0.50379,0.93635,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,3654.87,0.82523,0.5296,0.98351,0.93133,0.90892,0.94389,0.75678,0.75293,0.50169,0.93677,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,4446.55,0.82417,0.52604,0.98237,0.93267,0.8541,0.8853,0.71572,0.74266,0.49921,0.93311,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,5435.51,0.82432,0.52679,0.98121,0.9364,0.87229,0.9039,0.72814,0.75462,0.50365,0.93283,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,6387.98,0.82257,0.52404,0.98152,0.92918,0.88458,0.91325,0.7368,0.74722,0.49871,0.93355,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,7248.02,0.81519,0.51984,0.97968,0.93654,0.91556,0.94801,0.76402,0.74421,0.49128,0.93306,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,8210.21,0.81728,0.52054,0.98122,0.93668,0.91582,0.9479,0.76441,0.7446,0.48886,0.92931,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,9126.79,0.81152,0.5188,0.97777,0.93677,0.91494,0.94727,0.7662,0.73665,0.48687,0.92872,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,10044.3,0.81093,0.51818,0.97749,0.93645,0.92067,0.949,0.76758,0.7347,0.48414,0.92921,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,10865.6,0.81241,0.51905,0.97661,0.94034,0.91319,0.94798,0.76425,0.74296,0.48469,0.92946,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,11766.2,0.8102,0.51682,0.9781,0.93843,0.91543,0.94831,0.76659,0.73553,0.48137,0.9292,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,12760,0.8161,0.52257,0.98344,0.93322,0.91284,0.94522,0.76669,0.73256,0.48628,0.92754,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,13843.3,0.81741,0.52503,0.98223,0.93858,0.91484,0.94809,0.76872,0.73021,0.48088,0.92597,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,14957.6,0.81495,0.52275,0.98043,0.93648,0.91701,0.94856,0.77035,0.7276,0.48113,0.92346,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,16105.7,0.81017,0.51982,0.9817,0.942,0.91418,0.94893,0.77228,0.7267,0.4762,0.92187,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
