epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,19290.4,1.01192,0.81604,1.61592,0.84734,0.8338,0.85701,0.67387,0.94006,0.80647,1.62636,0.000540037,0.000540037,0.000540037
43,21140.9,1.00748,0.82016,1.61393,0.7728,0.83421,0.80389,0.62953,0.95261,0.89072,1.58687,0.000531038,0.000531038,0.000531038
44,26301.2,1.00477,0.80222,1.60976,0.81652,0.82887,0.84303,0.66786,0.93179,0.83236,1.60229,0.000522039,0.000522039,0.000522039
45,28360.7,1.00072,0.78908,1.60977,0.8678,0.8568,0.87003,0.69158,0.92287,0.80072,1.58662,0.00051304,0.00051304,0.00051304
46,31504.5,1.00734,0.79743,1.60956,0.8352,0.85223,0.84298,0.66889,0.93504,0.84231,1.56891,0.00050404,0.00050404,0.00050404
47,42507.6,0.99881,0.79368,1.59738,0.87,0.83308,0.8565,0.68079,0.93039,0.79914,1.57816,0.000495041,0.000495041,0.000495041
48,632.453,0.99522,0.77653,1.60146,0.74567,0.14403,0.45244,0.3543,0.93701,0.84626,1.56561,0.000486042,0.000486042,0.000486042
49,1547.63,0.98883,0.77785,1.60248,0.73611,0.12539,0.43621,0.34535,0.9235,0.85819,1.56085,0.000477043,0.000477043,0.000477043
50,2557.11,0.98729,0.77531,1.58951,0.76948,0.285,0.5351,0.42691,0.91843,0.79738,1.57044,0.000468044,0.000468044,0.000468044
51,3869.55,0.99846,0.77424,1.59536,0.63722,0.46341,0.51552,0.40604,0.91628,0.98748,1.55031,0.000459045,0.000459045,0.000459045
52,5266.92,0.98491,0.76921,1.59038,0.75611,0.59715,0.68252,0.53563,0.93337,0.89236,1.54081,0.000450046,0.000450046,0.000450046
53,6640.76,0.98259,0.76278,1.60162,0.84098,0.74396,0.80444,0.64023,0.91136,0.80504,1.54968,0.000441047,0.000441047,0.000441047
54,7986.51,0.9822,0.76677,1.59428,0.78138,0.70651,0.76255,0.6057,0.91085,0.869,1.54832,0.000432048,0.000432048,0.000432048
55,9457.67,0.96867,0.75866,1.58663,0.74626,0.70784,0.75373,0.60218,0.90538,0.87663,1.55567,0.000423049,0.000423049,0.000423049
56,10850.3,0.96645,0.75473,1.58168,0.79079,0.79212,0.80611,0.64389,0.9,0.86871,1.55033,0.000414049,0.000414049,0.000414049
57,12201.4,0.96958,0.76278,1.58613,0.82482,0.82189,0.8444,0.67557,0.89734,0.79265,1.55674,0.00040505,0.00040505,0.00040505
58,13692.7,0.96818,0.76052,1.58888,0.84636,0.8111,0.83733,0.67491,0.89729,0.81578,1.56362,0.000396051,0.000396051,0.000396051
59,15731.7,0.96608,0.75211,1.5744,0.75414,0.79201,0.79463,0.6327,0.89979,0.90665,1.53389,0.000387052,0.000387052,0.000387052
60,17552.7,0.96107,0.7454,1.5738,0.85977,0.85903,0.8605,0.69221,0.89837,0.79331,1.56931,0.000378053,0.000378053,0.000378053
61,19358.4,0.95929,0.76136,1.57059,0.80031,0.82771,0.82993,0.66742,0.90008,0.83995,1.55109,0.000369054,0.000369054,0.000369054
62,21302.3,0.95364,0.75171,1.56959,0.78739,0.83645,0.83744,0.6741,0.88631,0.82746,1.54865,0.000360055,0.000360055,0.000360055
63,24973.7,0.95765,0.74187,1.56728,0.81552,0.82839,0.83916,0.67701,0.88552,0.8138,1.55467,0.000351056,0.000351056,0.000351056
64,29298.2,0.96174,0.74492,1.57081,0.83362,0.85595,0.85974,0.69398,0.89085,0.79706,1.54677,0.000342057,0.000342057,0.000342057
65,37683.8,0.95246,0.74534,1.55869,0.80055,0.83752,0.8305,0.66875,0.88227,0.83166,1.55278,0.000333058,0.000333058,0.000333058
66,52480,0.96013,0.75636,1.57704,0.83826,0.83109,0.85019,0.68558,0.88243,0.77964,1.54877,0.000324058,0.000324058,0.000324058
67,61570.5,0.95961,0.76824,1.57597,0.76338,0.81547,0.79138,0.63434,0.87912,0.85013,1.54363,0.000315059,0.000315059,0.000315059
68,67695.8,0.94905,0.75914,1.57944,0.79202,0.82341,0.83471,0.67403,0.8813,0.81171,1.53216,0.00030606,0.00030606,0.00030606
69,631.35,0.95052,0.7294,1.56127,0.81668,0.1585,0.49532,0.39905,0.88379,0.77504,1.52042,0.000297061,0.000297061,0.000297061
70,1518.12,0.94413,0.73135,1.56483,0.61996,0.12638,0.36897,0.29312,0.88864,0.91434,1.53201,0.000288062,0.000288062,0.000288062
71,2446.36,0.94091,0.72428,1.55048,0.78383,0.24305,0.51942,0.40817,0.87511,0.78096,1.5232,0.000279063,0.000279063,0.000279063
72,3702.47,0.9444,0.72381,1.56289,0.75492,0.38463,0.57465,0.46009,0.87667,0.83724,1.52812,0.000270064,0.000270064,0.000270064
73,5085.35,0.93716,0.72826,1.55298,0.72625,0.60146,0.66508,0.52878,0.8866,0.89585,1.5231,0.000261065,0.000261065,0.000261065
74,6469.61,0.93574,0.71275,1.56158,0.78514,0.71941,0.74853,0.60062,0.8714,0.84339,1.5257,0.000252066,0.000252066,0.000252066
75,7885.71,0.93105,0.71675,1.55221,0.79742,0.73538,0.78327,0.63375,0.87258,0.82984,1.52229,0.000243067,0.000243067,0.000243067
76,9250.05,0.92629,0.70963,1.55165,0.67608,0.72084,0.67118,0.53839,0.87637,0.99683,1.52049,0.000234068,0.000234068,0.000234068
77,10646.1,0.92501,0.71158,1.54607,0.78771,0.80842,0.79998,0.64924,0.86821,0.84938,1.52655,0.000225068,0.000225068,0.000225068
78,12005.5,0.9227,0.7104,1.5515,0.75907,0.79836,0.78277,0.63219,0.86961,0.85073,1.52313,0.000216069,0.000216069,0.000216069
79,13422.4,0.9293,0.71556,1.55383,0.82822,0.81388,0.83191,0.67758,0.86447,0.79895,1.51741,0.00020707,0.00020707,0.00020707
80,15255.6,0.92415,0.6973,1.53621,0.72816,0.79117,0.73956,0.59655,0.86586,0.96382,1.52031,0.000198071,0.000198071,0.000198071
